case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
strict-random,random,0,100,9001,write,3,weak,11529.8,1048580,1048580,1048578,162,2,2,0.2,,,
strict-random,random,0,100,9001,write,4,weak,16632.1,1048581,1048581,1048580,164,1,2,0.1,,,
strict-random,random,0,100,9001,write,5,weak,15955.9,1048582,1048582,1048580,164,2,2,0.2,,,
strict-random,random,0,100,9001,write,6,weak,14760.6,1048583,1048583,1048582,166,1,2,0.1,,,
strict-random,random,0,100,9001,write,7,weak,14680.3,1048584,1048584,1048582,166,2,2,0.2,,,
strict-random,random,0,100,9001,write,8,weak,14798,1048585,1048585,1048584,168,1,2,0.1,,,
strict-random,random,0,100,9001,write,9,weak,14782.8,1048586,1048586,1048584,168,2,2,0.2,,,
strict-random,random,0,100,9001,write,10,weak,14743,1048587,1048587,1048586,170,1,2,0.1,,,
strict-random,random,0,100,9001,write,11,weak,15136.5,1048588,1048588,1048586,170,2,2,0.2,,,
strict-random,random,0,100,9001,write,12,weak,16934,1048589,1048589,1048588,172,1,2,0.1,,,
strict-random,random,0,100,9001,write,13,weak,17216.5,1048590,1048590,1048588,172,2,2,0.2,,,
strict-random,random,0,100,9001,write,14,weak,17956.6,1048591,1048591,1048590,174,1,2,0.1,,,
strict-random,random,0,100,9001,write,15,weak,17737.3,1048592,1048592,1048590,174,2,2,0.2,,,
strict-random,random,0,100,9001,write,16,weak,16665.8,1048593,1048593,1048592,176,1,2,0.1,,,
strict-random,random,0,100,9001,write,17,weak,16698.2,1048594,1048594,1048592,176,2,2,0.2,,,
strict-random,random,0,100,9001,write,18,weak,16838.4,1048595,1048595,1048594,178,1,2,0.1,,,
strict-random,random,0,100,9001,write,19,weak,17481.1,1048596,1048596,1048594,178,2,2,0.2,,,
strict-random,random,0,100,9001,write,20,weak,17851,1048597,1048597,1048596,180,1,2,0.1,,,
strict-random,random,0,100,9001,write,21,weak,18637.3,1048598,1048598,1048596,180,2,2,0.2,,,
strict-random,random,0,100,9001,write,22,weak,18753.3,1048599,1048599,1048598,182,1,2,0.1,,,
strict-random,random,0,100,9001,write,23,weak,18280,1048600,1048600,1048598,182,2,2,0.2,,,
strict-random,random,0,100,9001,write,24,weak,20720.1,1048601,1048601,1048600,184,1,2,0.1,,,
strict-random,random,0,100,9001,query,0,,66.5,,160,160,160,0,2,0,160,1,0
strict-random,random,0,100,9001,query,1,,33.166,,160,160,160,0,2,0,160,1,0
strict-random,random,0,100,9001,query,2,,31.167,,160,160,160,0,2,0,160,1,0
strict-random,random,0,100,9001,query,3,,23.459,,160,160,160,0,2,0,160,1,0
strict-random,random,0,100,9001,query,4,,21.625,,160,160,162,2,2,0.2,160,1,0
strict-random,random,0,100,9001,query,5,,60.583,,1048580,1048578,162,2,2,0.2,1048580,1,2
strict-random,random,0,100,9001,query,6,,30.416,,1048580,1048578,162,2,2,0.2,1048580,1,2
strict-random,random,0,100,9001,query,7,,28.25,,1048580,1048578,162,2,2,0.2,1048580,1,2
strict-random,random,0,100,9001,query,8,,22.333,,1048580,1048578,166,2,2,0.2,1048580,1,2
strict-random,random,0,100,9001,query,9,,49.709,,1048584,1048582,166,2,2,0.2,1048584,1,2
strict-random,random,0,100,9001,query,10,,28.292,,1048584,1048582,166,2,2,0.2,1048584,1,2
strict-random,random,0,100,9001,query,11,,30.459,,1048584,1048582,166,2,2,0.2,1048584,1,2
strict-random,random,0,100,9001,query,12,,34.333,,1048584,1048582,166,2,2,0.2,1048584,1,2
strict-random,random,0,100,9001,query,13,,14329.6,,1048588,1048586,170,2,2,0.2,1048588,1,2
strict-random,random,0,100,9001,query,14,,222.375,,1048588,1048586,170,2,2,0.2,1048588,1,2
strict-random,random,0,100,9001,query,15,,93.166,,1048588,1048586,170,2,2,0.2,1048588,1,2
strict-random,random,0,100,9001,query,16,,49.459,,1048588,1048586,174,2,2,0.2,1048588,1,2
strict-random,random,0,100,9001,query,17,,86.042,,1048592,1048590,174,2,2,0.2,1048592,1,2
strict-random,random,0,100,9001,query,18,,44.458,,1048592,1048590,174,2,2,0.2,1048592,1,2
strict-random,random,0,100,9001,query,19,,37.834,,1048592,1048590,174,2,2,0.2,1048592,1,2
strict-random,random,0,100,9001,query,20,,38.042,,1048592,1048590,174,2,2,0.2,1048592,1,2
strict-random,random,0,100,9001,query,21,,16582,,1048596,1048594,178,2,2,0.2,1048596,1,2
strict-random,random,0,100,9001,query,22,,54.125,,1048596,1048594,178,2,2,0.2,1048596,1,2
strict-random,random,0,100,9001,query,23,,54.083,,1048596,1048594,178,2,2,0.2,1048596,1,2
strict-random,random,0,100,9001,query,24,,67.584,,1048596,1048594,178,2,2,0.2,1048596,1,2
strict-random,random,0,100,9001,query,25,,17522,,1048600,1048598,182,2,2,0.2,1048600,1,2
strict-random,random,0,100,9001,query,26,,36.333,,1048600,1048598,182,2,2,0.2,1048600,1,2
strict-random,random,0,100,9001,query,27,,30.417,,1048600,1048598,182,2,2,0.2,1048600,1,2
strict-random,random,0,100,9001,query,28,,28.25,,1048600,1048598,182,2,2,0.2,1048600,1,2
strict-random,random,0,100,9001,query,29,,26.75,,1048600,1048598,184,1,2,0.1,1048600,1,2
strict-random,random,0,100,9001,query,30,,91.333,,1048601,1048600,184,1,2,0.1,1048601,1,1
strict-random,random,0,100,9001,query,31,,72.041,,1048601,1048600,184,1,2,0.1,1048601,1,1
strict-random,random,0,100,9001,fence,0,stable,6573.21,,,,,,,,,,
exchange-hot,hot,0,100,45001,write,0,weak,1332.25,1048577,1048577,160,160,1,8,0.00621118,,,
exchange-hot,hot,0,100,45001,write,1,weak,2305.54,1048579,1048579,160,160,3,8,0.0184049,,,
exchange-hot,hot,0,100,45001,write,2,weak,3636.54,1048580,1048580,160,160,4,8,0.0243902,,,
exchange-hot,hot,0,100,45001,write,3,weak,1864.54,1048578,1048578,160,160,2,8,0.0123457,,,
exchange-hot,hot,0,100,45001,write,4,weak,4285.5,1048581,1048581,160,160,5,8,0.030303,,,
exchange-hot,hot,0,100,45001,write,5,weak,5005.88,1048582,1048582,160,160,6,8,0.0361446,,,
exchange-hot,hot,0,100,45001,write,6,weak,5611.38,1048583,1048583,160,160,7,8,0.0419162,,,
exchange-hot,hot,0,100,45001,write,7,weak,5367.04,1048584,1048584,160,160,8,8,0.047619,,,
exchange-hot,hot,0,100,45001,write,8,weak,10337.7,1048585,1048585,1048584,168,1,8,0.00591716,,,
exchange-hot,hot,0,100,45001,write,9,weak,10199.7,1048586,1048586,1048584,168,2,8,0.0117647,,,
exchange-hot,hot,0,100,45001,write,10,weak,10190,1048587,1048587,1048584,168,3,8,0.0175439,,,
exchange-hot,hot,0,100,45001,write,11,weak,10227.7,1048588,1048588,1048584,168,4,8,0.0232558,,,
exchange-hot,hot,0,100,45001,write,12,weak,5061.38,1048589,1048589,1048584,168,5,8,0.0289017,,,
exchange-hot,hot,0,100,45001,write,13,weak,5668.21,1048590,1048590,1048584,168,6,8,0.0344828,,,
exchange-hot,hot,0,100,45001,write,14,weak,6374.96,1048591,1048591,1048584,168,7,8,0.04,,,
exchange-hot,hot,0,100,45001,write,15,weak,7232.25,1048592,1048592,1048584,168,8,8,0.0454545,,,
exchange-hot,hot,0,100,45001,write,16,weak,13809.1,1048593,1048593,1048592,176,1,9,0.00564972,,,
exchange-hot,hot,0,100,45001,write,17,weak,13993.8,1048594,1048594,1048592,176,2,9,0.011236,,,
exchange-hot,hot,0,100,45001,write,18,weak,13541.8,1048595,1048595,1048592,176,3,9,0.0167598,,,
exchange-hot,hot,0,100,45001,write,19,weak,15889.2,1048596,1048596,1048592,176,4,9,0.0222222,,,
exchange-hot,hot,0,100,45001,write,20,weak,9389.75,1048597,1048597,1048592,176,5,9,0.0276243,,,
exchange-hot,hot,0,100,45001,write,21,weak,8937.54,1048598,1048598,1048592,176,6,9,0.032967,,,
exchange-hot,hot,0,100,45001,write,22,weak,8772.08,1048599,1048599,1048592,176,7,9,0.0382514,,,
exchange-hot,hot,0,100,45001,write,23,weak,5790.58,1048600,1048600,1048592,176,8,9,0.0434783,,,
exchange-hot,hot,0,100,45001,write,24,weak,5622.88,1048601,1048601,1048592,176,9,9,0.0486486,,,
exchange-hot,hot,0,100,45001,query,0,,67.25,,160,160,160,0,8,0,160,1,0
exchange-hot,hot,0,100,45001,query,1,,26.417,,160,160,160,0,8,0,160,1,0
