case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
stable-group,random,9,4,314.738,0,0,0,10836.2,15423.2,15425.3,1162.75,29.7085,10763.8,13392.7,174.44,0,0,0,0.4,7,7,7,0,88.1268,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,9,4,132.017,3405.37,5120.38,5272.04,34975.8,47903.6,47918,1158.5,38.271,12002.8,30998.1,173.8,0.4,4,9,0.0243902,22,22,22,0,116.175,1.13636,16,0,0,2.53086,1,5.559,0,0,0,0,0,0,1,1,1
strict-random,random,9,4,188.26,18946.6,28575.7,30950.1,0,0,0,5901.96,36.729,18323.3,25196.3,171.52,1.48,2,2,0.2,12,13,13,0,90.3649,1.92308,12,0,0,0.630841,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,9,4,322.962,11103.1,17323.8,17541.2,0,0,0,1167,39.2705,74.5312,56688.2,170.92,2.08,4,1638,0.0243902,7,8,8,0,90.4294,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,9,4,318.183,12675.8,14117.9,15220.1,0,0,0,7167.83,45.5205,8931.83,11711.7,170.56,2.44,4,4,0.0243902,6,7,7,0,76.364,3.57143,6,0,0,0.930116,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,9,4,487.669,5758.46,12643.3,12792,0,0,0,6031.92,23.771,6922.8,11357.8,168.32,4.68,9,9,0.0486486,2,3,3,0,39.0135,8.33333,2,0,0,1.052,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-hot,hot,9,4,231.112,17004,20804.8,21229,0,0,0,6077.46,42.104,15465.7,16453,171.52,1.48,2,2,0.2,12,13,13,0,110.934,1.92308,12,0,0,3.87337,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
stable-group,random,10,4,303.786,0,0,0,11737.3,12973.7,12979,1162.21,38.1665,10542.9,11875.2,174.44,0,0,0,0.4,7,7,7,0,85.06,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
strict-hot,hot,10,4,238.226,16581.2,20906.9,21593.3,0,0,0,5418.25,37.313,12503.4,17503.5,171.52,1.48,2,2,0.2,12,13,13,0,114.349,1.92308,12,0,0,3.87337,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot-guard,hot,10,4,98.3096,3276.23,5102.71,5248.61,46861.6,54769.8,54770.8,806.542,49.5,43990.2,51546.7,173.8,0.4,4,9,0.0243902,22,22,22,0,86.5125,1.13636,16,0,0,2.53086,1,5.625,0,0,0,0,0,0,1,1,1
fixed-count,random,10,4,348.708,10752.5,14214.3,14344.5,0,0,0,7064.04,25.75,6746.15,10679.6,170.56,2.44,4,4,0.0243902,6,7,7,0,83.6899,3.57143,6,0,0,1.03922,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,10,4,388.997,9833.25,14321.9,15169,0,0,0,1171.62,36.75,71.2104,80.7812,170.92,2.08,4,1638,0.0243902,7,8,8,0,108.919,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,10,4,472.552,7046.92,13416.8,14020.9,0,0,0,7409.46,43.042,3847.06,10734.5,168.32,4.68,9,9,0.0486486,2,3,3,0,37.8042,8.33333,2,0,0,1.07502,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,10,4,476.668,6613.04,14091.4,14180,0,0,0,5899.88,37.146,2692.34,8355.31,168.32,4.68,9,9,0.0486486,2,3,3,0,38.1334,8.33333,2,0,0,4.24711,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
strict-random,random,10,4,214.836,17032.4,22594,22821.2,0,0,0,6762.12,49.104,16614.3,18648.1,171.52,1.48,2,2,0.2,12,13,13,0,103.121,1.92308,12,0,0,1.29055,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
