case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
exchange-random,random,0,117,9001,query,25,,12.208,,1048592,1048584,168,8,8,0.0454545,1048592,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,26,,10101.1,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,27,,19.75,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,28,,10.375,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,29,,11.833,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,30,,13.25,,1048596,1048592,176,4,9,0.0222222,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,31,,14.708,,1048596,1048592,176,8,9,0.0434783,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,cleanup-fence,0,stable,5732.25,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,0,weak,1312.33,1048577,1048577,160,160,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,1,weak,10020.4,1048579,1048579,1048578,162,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,2,weak,11750.2,1048580,1048580,1048578,162,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,3,weak,2863.04,1048578,1048578,160,160,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,4,weak,16558,1048581,1048581,1048580,164,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,5,weak,16292.5,1048582,1048582,1048580,164,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,6,weak,13899,1048583,1048583,1048582,166,1,2,0.1,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,7,weak,13470.5,1048584,1048584,1048582,166,2,2,0.2,,,,strict-cap-before-fence,,87
strict-random,random,0,117,9001,write,8,weak,13758.1,1048585,1048585,1048584,168,1,2,0.1,,,,strict-cap-before-fence,,87
