case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,index,actual_ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,receipt_cap,risk
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,34,weak,41726.25,1048611,1048611,1048610,194,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,35,weak,44885.332999999999,1048612,1048612,1048610,194,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,36,weak,42495.5,1048613,1048613,1048612,196,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,37,weak,40252.332999999999,1048614,1048614,1048612,196,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,38,weak,32373.958999999999,1048615,1048615,1048614,198,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,39,weak,28858.25,1048616,1048616,1048614,198,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,40,weak,26446.625,1048617,1048617,1048616,200,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,41,weak,26977.5,1048618,1048618,1048616,200,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,42,weak,26236.25,1048619,1048619,1048618,202,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,43,weak,26733.625,1048620,1048620,1048618,202,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,44,weak,34864.457999999999,1048621,1048621,1048620,204,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,45,weak,37644.5,1048622,1048622,1048620,204,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,46,weak,48887.834000000003,1048623,1048623,1048622,206,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,47,weak,49310.167000000001,1048624,1048624,1048622,206,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,48,weak,43424.207999999999,1048625,1048625,1048624,208,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,49,weak,47046.957999999999,1048626,1048626,1048624,208,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,50,weak,36493.040999999997,1048627,1048627,1048626,210,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,51,weak,41576.207999999999,1048628,1048628,1048626,210,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,52,weak,40133.665999999997,1048629,1048629,1048628,212,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,53,weak,34926.957999999999,1048630,1048630,1048628,212,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,54,weak,37836.582999999999,1048631,1048631,1048630,214,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,55,weak,32203.125,1048632,1048632,1048630,214,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,56,weak,32400,1048633,1048633,1048632,216,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,57,weak,60533.709000000003,1048634,1048634,1048632,216,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,58,weak,55982.417000000001,1048635,1048635,1048634,218,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,59,weak,55169.625,1048636,1048636,1048634,218,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,60,weak,52331.790999999997,1048637,1048637,1048636,220,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,61,weak,22100.75,1048638,1048638,1048636,220,2,2,0.20000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,62,weak,22835.832999999999,1048639,1048639,1048638,222,1,2,0.10000000000000001
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,63,weak,23037.791000000001,1048640,1048640,1048638,222,2,2,0.20000000000000001
strict-hot-k10-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0,weak,1745.625,1048577,1048577,160,160,1,2,0.10000000000000001
strict-hot-k10-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,1,weak,4352.75,1048578,1048578,160,160,2,2,0.20000000000000001
