case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
exchange-random,random,0,117,9001,query,26,,81.833,,1048596,1048592,176,8,9,0.0434783,1048596,1,4,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,27,,42.875,,1048600,1048592,176,8,9,0.0434783,1048600,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,28,,25.625,,1048600,1048592,176,8,9,0.0434783,1048600,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,29,,41,,1048600,1048592,176,8,9,0.0434783,1048600,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,30,,32.625,,1048600,1048592,176,8,9,0.0434783,1048600,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,query,31,,32.375,,1048600,1048592,176,8,9,0.0434783,1048600,1,8,terminal-unfenced-suffix,,-1
exchange-random,random,0,117,9001,cleanup-fence,0,stable,7904.58,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,0,weak,1186.58,1048577,1048577,160,160,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,1,weak,3008,1048578,1048578,160,160,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,2,weak,9674.96,1048579,1048579,1048578,162,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,3,weak,11090,1048580,1048580,1048578,162,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,4,weak,16611,1048581,1048581,1048580,164,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,5,weak,16141.8,1048582,1048582,1048580,164,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,6,weak,18759.5,1048583,1048583,1048582,166,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,7,weak,18932.7,1048584,1048584,1048582,166,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,8,weak,20738.6,1048585,1048585,1048584,168,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,9,weak,21680.5,1048586,1048586,1048584,168,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,10,weak,18794.6,1048587,1048587,1048586,170,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,11,weak,18914.5,1048588,1048588,1048586,170,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,12,weak,17858.1,1048589,1048589,1048588,172,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,13,weak,17530.3,1048590,1048590,1048588,172,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,14,weak,18018,1048591,1048591,1048590,174,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,15,weak,17848.3,1048592,1048592,1048590,174,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,16,weak,18609.2,1048593,1048593,1048592,176,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,17,weak,21059.3,1048594,1048594,1048592,176,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,18,weak,20698.2,1048595,1048595,1048594,178,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,19,weak,22482.4,1048596,1048596,1048594,178,2,2,0.2,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,20,weak,25766.7,1048597,1048597,1048596,180,1,2,0.1,,,,terminal-unfenced-suffix,,-1
strict-random,random,0,117,9001,write,21,weak,23435.8,1048598,1048598,1048596,180,2,2,0.2,,,,terminal-unfenced-suffix,,-1
